Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2024-01-02 14:30:00+00:00,186.1898956298828,188.44000244140625,186.00999450683594,187.80099487304688,21173291
2024-01-02 15:30:00+00:00,186.80499267578125,186.90499877929688,185.18429565429688,186.17999267578125,9010595
2024-01-02 16:30:00+00:00,186.61500549316406,187.35000610351562,186.57000732421875,186.8000030517578,6143754
2024-01-02 17:30:00+00:00,185.2949981689453,187.0399932861328,185.25999450683594,186.61500549316406,5381701
2024-01-02 18:30:00+00:00,184.4949951171875,185.5399932861328,184.22999572753906,185.2899932861328,7228643
2024-01-02 19:30:00+00:00,184.4199981689453,184.67999267578125,183.88499450683594,184.49000549316406,8238940
2024-01-02 20:30:00+00:00,185.52499389648438,185.63999938964844,184.4149932861328,184.4199981689453,9447841
2024-01-03 14:30:00+00:00,183.9586944580078,185.8800048828125,183.6300048828125,184.66799926757812,15935130
2024-01-03 15:30:00+00:00,184.1999969482422,184.27000427246094,183.4499969482422,183.9550018310547,7040280
2024-01-03 16:30:00+00:00,183.92999267578125,184.3800048828125,183.42999267578125,184.19000244140625,5295920
2024-01-03 17:30:00+00:00,184.4730987548828,184.5500030517578,183.85169982910156,183.92709350585938,3968490
2024-01-03 18:30:00+00:00,184.74000549316406,184.82000732421875,183.80499267578125,184.47500610351562,4500805
2024-01-03 19:30:00+00:00,184.38999938964844,184.94000244140625,184.21009826660156,184.74949645996094,4256338
2024-01-03 20:30:00+00:00,184.25,184.52000427246094,183.75,184.38999938964844,5053608
2024-01-04 14:30:00+00:00,181.67999267578125,183.0872039794922,181.22760009765625,182.14999389648438,16075231
2024-01-04 15:30:00+00:00,182.125,182.35499572753906,180.8800048828125,181.6699981689453,10313237
2024-01-04 16:30:00+00:00,182.13999938964844,182.44000244140625,181.32000732421875,182.1269989013672,7509793
2024-01-04 17:30:00+00:00,182.9149932861328,182.99000549316406,181.9600067138672,182.1300048828125,4961844
2024-01-04 18:30:00+00:00,182.5,183.07000732421875,182.4199981689453,182.91000366210938,4172442
2024-01-04 19:30:00+00:00,181.94009399414062,182.66000366210938,181.87210083007812,182.5,6011068
2024-01-04 20:30:00+00:00,181.9199981689453,182.4149932861328,181.42999267578125,181.94500732421875,7594098
2024-01-05 14:30:00+00:00,182.07000732421875,182.75999450683594,181.52000427246094,181.99000549316406,13194900
2024-01-05 15:30:00+00:00,182.0876007080078,182.74000549316406,181.96499633789062,182.06629943847656,5524889
2024-01-05 16:30:00+00:00,181.36500549316406,182.22500610351562,181.32000732421875,182.0800018310547,4494198
2024-01-05 17:30:00+00:00,181.74000549316406,181.86000061035156,181.2100067138672,181.36000061035156,4262774
2024-01-05 18:30:00+00:00,181.1199951171875,182.22999572753906,180.4199981689453,181.7449951171875,9901415
2024-01-05 19:30:00+00:00,180.27999877929688,181.38999938964844,180.1699981689453,181.11000061035156,7993182
2024-01-05 20:30:00+00:00,181.1699981689453,181.25999450683594,180.23809814453125,180.2799072265625,6775472
2024-01-08 14:30:00+00:00,183.80999755859375,183.88499450683594,181.5,182.0850067138672,13311025
2024-01-08 15:30:00+00:00,183.2449951171875,183.8800048828125,183.2100067138672,183.82000732421875,5198974
2024-01-08 16:30:00+00:00,183.99009704589844,184.57000732421875,183.23500061035156,183.2449951171875,5720535
2024-01-08 17:30:00+00:00,184.11500549316406,184.47000122070312,183.9600067138672,184.0,4151910
2024-01-08 18:30:00+00:00,184.83250427246094,184.875,184.0500030517578,184.1199951171875,3724042
2024-01-08 19:30:00+00:00,185.22000122070312,185.4199981689453,184.6999969482422,184.83999633789062,5370765
